country,continent,total_confirmed,total_deaths,total_recovered,active_cases,population
Afghanistan,Asia,179267,7690,162202,9375,40560636
Albania,Europe,275574,3497,271826,251,2871945
Algeria,Africa,265816,6875,178371,80570,45325517
Andorra,Europe,42156,153,41021,982,77495
Angola,Africa,99194,1900,97149,145,34769277
Anguilla,North America,2984,9,2916,59,15252
Antigua And Barbuda,North America,7721,137,7511,73,99439
Argentina,South America,9101319,128729,8895999,76591,45968174
Armenia,Asia,422896,8623,412048,2225,2973558
Aruba,North America,35693,213,35199,281,107610
Australia,Australia/Oceania,6593795,7794,6199822,386179,26050899
Austria,Europe,4212492,18303,4135885,58304,9102106
Azerbaijan,Asia,792638,9709,782869,60,10309383
Bahamas,North America,33871,801,32488,582,400242
Bahrain,Asia,576997,1479,569758,5760,1811659
Bangladesh,Asia,1953012,29127,1899419,24466,167745162
Barbados,North America,76261,433,71497,4331,288030
Belgium,Europe,4116397,31613,3941350,143434,11683561
Belize,North America,57896,676,56761,459,411069
Benin,Africa,26952,163,25506,1283,12714341
Bermuda,North America,14135,135,13664,336,61850
Bhutan,Asia,59570,21,59491,58,787432
Bolivia,South America,906146,21943,863665,20538,11969554
Botswana,Africa,306324,2690,303026,608,2440037
Brazil,South America,30682094,664920,29718402,298772,215373503
Brunei Darussalam,Asia,144659,220,142788,1651,445281
Bulgaria,Europe,1161504,37045,1014302,110157,6851060
Burkina Faso,Africa,20853,382,20439,32,21970296
Cabo Verde,Africa,56105,401,55613,91,567234
Cambodia,Asia,136262,3056,133194,12,17149867
Cameroon,Africa,119780,1927,117791,62,27776053
Canada,North America,3821346,40228,3499564,281554,38358465
Caribbean Netherlands,North America,9915,35,9829,51,26677
Cayman Islands,North America,23578,28,8553,14997,67159
Central African Republic,Africa,14649,113,6859,7677,4986136
Chad,Africa,7414,193,4874,2347,17303260
Channel Islands,Europe,75275,173,74574,528,176848
Chile,South America,3605522,57722,3468131,79669,19421812
China,Asia,221804,5209,210454,6141,1439323776
Colombia,South America,6095316,139821,5928829,26666,51892950
Comoros,Africa,8100,160,7933,7,904091
Congo,Africa,24079,385,20178,3516,5770949
Cook Islands,Australia/Oceania,5410,1,5291,118,17594
Costa Rica,North America,866164,8444,841683,16037,5180753
Cote D Ivoire,Africa,81989,799,81168,22,27594347
Croatia,Europe,1131450,15930,1111405,4115,4058130
Cuba,North America,1104589,8529,1095534,526,11313741
Curacao,North America,43017,275,42203,539,165343
Cyprus,Asia,477711,1032,124370,352309,1223728
Czech Republic,Europe,3915847,40245,3871654,3948,10745981
Democratic Republic Of The Congo,Africa,87023,1337,50930,34756,94629737
Denmark,Europe,2976667,6287,2960386,9994,5830190
Djibouti,Africa,15631,189,15427,15,1014756
Dominica,North America,12685,63,12323,299,72319
Dominican Republic,North America,580412,4376,575583,453,11050510
Egypt,Africa,515645,24613,442182,48850,105928386
El Salvador,North America,162089,4129,150662,7298,6547158
Equatorial Guinea,Africa,15910,183,15701,26,1488778
Eritrea,Africa,9745,103,9632,10,3637828
Estonia,Europe,573922,2556,514836,56530,1328196
Ethiopia,Africa,470937,7510,455757,7670,120265111
Faeroe Islands,Europe,34658,28,7693,26937,49209
